id,name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category
0,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100,0,failed,0,CA,CAD,1448690400,1450159200,FALSE,FALSE,food/food trucks
1,Odom Inc,Managed bottom-line architecture,1400,14560,successful,158,US,USD,1408424400,1408597200,FALSE,TRUE,music/rock
2,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400,142523,successful,1425,AU,AUD,1384668000,1384840800,FALSE,FALSE,technology/web
3,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200,2477,failed,24,US,USD,1565499600,1568955600,FALSE,FALSE,music/rock
4,Larson-Little,Proactive foreground core,7600,5265,failed,53,US,USD,1547964000,1548309600,FALSE,FALSE,theater/plays
5,Harris Group,Open-source optimizing database,7600,13195,successful,174,DK,DKK,1346130000,1347080400,FALSE,FALSE,theater/plays
6,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200,1090,failed,18,GB,GBP,1505278800,1505365200,FALSE,FALSE,film & video/documentary
7,Carter-Guzman,Centralized cohesive challenge,4500,14741,successful,227,DK,DKK,1439442000,1439614800,FALSE,FALSE,theater/plays
8,Nunez-Richards,Exclusive attitude-oriented intranet,110100,21946,live,708,DK,DKK,1281330000,1281502800,FALSE,FALSE,theater/plays
9,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200,3208,failed,44,US,USD,1379566800,1383804000,FALSE,FALSE,music/electric music
10,Green Ltd,Monitored empowering installation,5200,13838,successful,220,US,USD,1281762000,1285909200,FALSE,FALSE,film & video/drama
11,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300,3030,failed,27,US,USD,1285045200,1285563600,FALSE,TRUE,theater/plays
12,Kim Ltd,Assimilated hybrid intranet,6300,5629,failed,55,US,USD,1571720400,1572411600,FALSE,FALSE,film & video/drama
13,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200,10295,successful,98,US,USD,1465621200,1466658000,FALSE,FALSE,music/indie rock
14,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200,18829,failed,200,US,USD,1331013600,1333342800,FALSE,FALSE,music/indie rock
15,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200,38414,failed,452,US,USD,1575957600,1576303200,FALSE,FALSE,technology/wearables
16,Hines Inc,Cross-platform systemic adapter,1700,11041,successful,100,US,USD,1390370400,1392271200,FALSE,FALSE,publishing/nonfiction
17,Cochran-Nguyen,Seamless 4thgeneration methodology,84600,134845,successful,1249,US,USD,1294812000,1294898400,FALSE,FALSE,film & video/animation
18,Johnson-Gould,Exclusive needs-based adapter,9100,6089,canceled,135,US,USD,1536382800,1537074000,FALSE,FALSE,theater/plays
19,Perez-Hess,Down-sized cohesive archive,62500,30331,failed,674,US,USD,1551679200,1553490000,FALSE,TRUE,theater/plays
20,"Reeves, Thompson and Richardson",Proactive composite alliance,131800,147936,successful,1396,US,USD,1406523600,1406523600,FALSE,FALSE,film & video/drama
21,Simmons-Reynolds,Re-engineered intangible definition,94000,38533,failed,558,US,USD,1313384400,1316322000,FALSE,FALSE,theater/plays
22,Collier Inc,Enhanced dynamic definition,59100,75690,successful,890,US,USD,1522731600,1524027600,FALSE,FALSE,theater/plays
23,Gray-Jenkins,Devolved next generation adapter,4500,14942,successful,142,GB,GBP,1550124000,1554699600,FALSE,FALSE,film & video/documentary
24,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400,104257,successful,2673,US,USD,1403326800,1403499600,FALSE,FALSE,technology/wearables
25,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500,11904,successful,163,US,USD,1305694800,1307422800,FALSE,TRUE,games/video games
26,Spencer-Bates,Optional responsive customer loyalty,107500,51814,canceled,1480,US,USD,1533013200,1535346000,FALSE,FALSE,theater/plays
27,"Best, Carr and Williams",Diverse transitional migration,2000,1599,failed,15,US,USD,1443848400,1444539600,FALSE,FALSE,music/rock
28,"Campbell, Brown and Powell",Synchronized global task-force,130800,137635,successful,2220,US,USD,1265695200,1267682400,FALSE,TRUE,theater/plays
29,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900,150965,successful,1606,CH,CHF,1532062800,1535518800,FALSE,FALSE,film & video/shorts
30,Clark-Cooke,Down-sized analyzing challenge,9000,14455,successful,129,US,USD,1558674000,1559106000,FALSE,FALSE,film & video/animation
31,Schroeder Ltd,Progressive needs-based focus group,3500,10850,successful,226,GB,GBP,1451973600,1454392800,FALSE,FALSE,games/video games
32,Jackson PLC,Ergonomic 6thgeneration success,101000,87676,failed,2307,IT,EUR,1515564000,1517896800,FALSE,FALSE,film & video/documentary
33,"Blair, Collins and Carter",Exclusive interactive approach,50200,189666,successful,5419,US,USD,1412485200,1415685600,FALSE,FALSE,theater/plays
34,Maldonado and Sons,Reverse-engineered asynchronous archive,9300,14025,successful,165,US,USD,1490245200,1490677200,FALSE,FALSE,film & video/documentary
35,Mitchell and Sons,Synergized intangible challenge,125500,188628,successful,1965,DK,DKK,1547877600,1551506400,FALSE,TRUE,film & video/drama
36,Jackson-Lewis,Monitored multi-state encryption,700,1101,successful,16,US,USD,1298700000,1300856400,FALSE,FALSE,theater/plays
37,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100,11339,successful,107,US,USD,1570338000,1573192800,FALSE,TRUE,publishing/fiction
38,Maldonado-Gonzalez,Digitized client-driven database,3100,10085,successful,134,US,USD,1287378000,1287810000,FALSE,FALSE,photography/photography books
39,Kim-Rice,Organized bi-directional function,9900,5027,failed,88,DK,DKK,1361772000,1362978000,FALSE,FALSE,theater/plays
40,"Garcia, Garcia and Lopez",Reduced stable middleware,8800,14878,successful,198,US,USD,1275714000,1277355600,FALSE,TRUE,technology/wearables
41,Watts Group,Universal 5thgeneration neural-net,5600,11924,successful,111,IT,EUR,1346734800,1348981200,FALSE,TRUE,music/rock
42,Werner-Bryant,Virtual uniform frame,1800,7991,successful,222,US,USD,1309755600,1310533200,FALSE,FALSE,food/food trucks
43,Schmitt-Mendoza,Profound explicit paradigm,90200,167717,successful,6212,US,USD,1406178000,1407560400,FALSE,FALSE,publishing/radio & podcasts
44,Reid-Mccullough,Visionary real-time groupware,1600,10541,successful,98,DK,DKK,1552798800,1552885200,FALSE,FALSE,publishing/fiction
45,Woods-Clark,Networked tertiary Graphical User Interface,9500,4530,failed,48,US,USD,1478062800,1479362400,FALSE,TRUE,theater/plays
46,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700,4247,successful,92,US,USD,1278565200,1280552400,FALSE,FALSE,music/rock
47,Bennett and Sons,Function-based multi-state software,1500,7129,successful,149,US,USD,1396069200,1398661200,FALSE,FALSE,theater/plays
48,Lamb Inc,Optimized leadingedge concept,33300,128862,successful,2431,US,USD,1435208400,1436245200,FALSE,FALSE,theater/plays
49,Casey-Kelly,Sharable holistic interface,7200,13653,successful,303,US,USD,1571547600,1575439200,FALSE,FALSE,music/rock
50,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100,2,failed,1,IT,EUR,1375333200,1377752400,FALSE,FALSE,music/metal
51,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100,145243,failed,1467,GB,GBP,1332824400,1334206800,FALSE,TRUE,technology/wearables
52,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200,2459,failed,75,US,USD,1284526800,1284872400,FALSE,FALSE,theater/plays
53,Smith-Jones,Reverse-engineered static concept,8800,12356,successful,209,US,USD,1400562000,1403931600,FALSE,FALSE,film & video/drama
54,Roy PLC,Multi-channeled neutral customer loyalty,6000,5392,failed,120,US,USD,1520748000,1521262800,FALSE,FALSE,technology/wearables
55,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600,11746,successful,131,US,USD,1532926800,1533358800,FALSE,FALSE,music/jazz
56,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000,11493,successful,164,US,USD,1420869600,1421474400,FALSE,FALSE,technology/wearables
57,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900,6243,successful,201,US,USD,1504242000,1505278800,FALSE,FALSE,games/video games
58,Anderson-Perez,Expanded 3rdgeneration strategy,2700,6132,successful,211,US,USD,1442811600,1443934800,FALSE,FALSE,theater/plays
59,"Wright, Fox and Marks",Assimilated real-time support,1400,3851,successful,128,US,USD,1497243600,1498539600,FALSE,TRUE,theater/plays
60,Crawford-Peters,User-centric regional database,94200,135997,successful,1600,CA,CAD,1342501200,1342760400,FALSE,FALSE,theater/plays
61,Romero-Hoffman,Open-source zero administration complexity,199200,184750,failed,2253,CA,CAD,1298268000,1301720400,FALSE,FALSE,theater/plays
62,Sparks-West,Organized incremental standardization,2000,14452,successful,249,US,USD,1433480400,1433566800,FALSE,FALSE,technology/web
63,"Baker, Morgan and Brown",Assimilated didactic open system,4700,557,failed,5,US,USD,1493355600,1493874000,FALSE,FALSE,theater/plays
64,Mosley-Gilbert,Vision-oriented logistical intranet,2800,2734,failed,38,US,USD,1530507600,1531803600,FALSE,TRUE,technology/web
65,Berry-Boyer,Mandatory incremental projection,6100,14405,successful,236,US,USD,1296108000,1296712800,FALSE,FALSE,theater/plays
66,Sanders-Allen,Grass-roots needs-based encryption,2900,1307,failed,12,US,USD,1428469200,1428901200,FALSE,TRUE,theater/plays
67,Lopez Inc,Team-oriented 6thgeneration middleware,72600,117892,successful,4065,GB,GBP,1264399200,1264831200,FALSE,TRUE,technology/wearables
68,Moreno-Turner,Inverse multi-tasking installation,5700,14508,successful,246,IT,EUR,1501131600,1505192400,FALSE,TRUE,theater/plays
69,Jones-Watson,Switchable disintermediate moderator,7900,1901,canceled,17,US,USD,1292738400,1295676000,FALSE,FALSE,theater/plays
70,Barker Inc,Re-engineered 24/7 task-force,128000,158389,successful,2475,IT,EUR,1288674000,1292911200,FALSE,TRUE,theater/plays
71,"Tate, Bass and House",Organic object-oriented budgetary management,6000,6484,successful,76,US,USD,1575093600,1575439200,FALSE,FALSE,theater/plays
72,"Hampton, Lewis and Ray",Seamless coherent parallelism,600,4022,successful,54,US,USD,1435726800,1438837200,FALSE,FALSE,film & video/animation
73,Collins-Goodman,Cross-platform even-keeled initiative,1400,9253,successful,88,US,USD,1480226400,1480485600,FALSE,FALSE,music/jazz
74,Davis-Michael,Progressive tertiary framework,3900,4776,successful,85,GB,GBP,1459054800,1459141200,FALSE,FALSE,music/metal
75,"White, Torres and Bishop",Multi-layered dynamic protocol,9700,14606,successful,170,US,USD,1531630800,1532322000,FALSE,FALSE,photography/photography books
76,"Martin, Conway and Larsen",Horizontal next generation function,122900,95993,failed,1684,US,USD,1421992800,1426222800,TRUE,TRUE,theater/plays
77,Acevedo-Huffman,Pre-emptive impactful model,9500,4460,failed,56,US,USD,1285563600,1286773200,FALSE,TRUE,film & video/animation
78,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500,13536,successful,330,US,USD,1523854800,1523941200,FALSE,FALSE,publishing/translations
79,Soto LLC,Triple-buffered reciprocal project,57800,40228,failed,838,US,USD,1529125200,1529557200,FALSE,FALSE,theater/plays
80,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100,7012,successful,127,US,USD,1503982800,1506574800,FALSE,FALSE,games/video games
81,"Gomez, Bailey and Flores",User-friendly static contingency,16800,37857,successful,411,US,USD,1511416800,1513576800,FALSE,FALSE,music/rock
82,Porter-George,Reactive content-based framework,1000,14973,successful,180,GB,GBP,1547704800,1548309600,FALSE,TRUE,games/video games
83,Fitzgerald PLC,Realigned user-facing concept,106400,39996,failed,1000,US,USD,1469682000,1471582800,FALSE,FALSE,music/electric music
84,Cisneros-Burton,Public-key zero tolerance orchestration,31400,41564,successful,374,US,USD,1343451600,1344315600,FALSE,FALSE,technology/wearables
85,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900,6430,successful,71,AU,AUD,1315717200,1316408400,FALSE,FALSE,music/indie rock
86,Davis-Smith,Organic motivating firmware,7400,12405,successful,203,US,USD,1430715600,1431838800,TRUE,FALSE,theater/plays
87,Farrell and Sons,Synergized 4thgeneration conglomeration,198500,123040,failed,1482,AU,AUD,1299564000,1300510800,FALSE,TRUE,music/rock
88,Clark Group,Grass-roots fault-tolerant policy,4800,12516,successful,113,US,USD,1429160400,1431061200,FALSE,FALSE,publishing/translations
89,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400,8588,successful,96,US,USD,1271307600,1271480400,FALSE,FALSE,theater/plays
90,Kramer Group,Synergistic explicit parallelism,7800,6132,failed,106,US,USD,1456380000,1456380000,FALSE,TRUE,theater/plays
91,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300,74688,failed,679,IT,EUR,1470459600,1472878800,FALSE,FALSE,publishing/translations
92,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000,51775,successful,498,CH,CHF,1277269200,1277355600,FALSE,TRUE,games/video games
93,Hall and Sons,Pre-emptive radical architecture,108800,65877,canceled,610,US,USD,1350709200,1351054800,FALSE,TRUE,theater/plays
94,Hanson Inc,Grass-roots web-enabled contingency,2900,8807,successful,180,GB,GBP,1554613200,1555563600,FALSE,FALSE,technology/web
95,Sanchez LLC,Stand-alone system-worthy standardization,900,1017,successful,27,US,USD,1571029200,1571634000,FALSE,FALSE,film & video/documentary
96,Howard Ltd,Down-sized systematic policy,69700,151513,successful,2331,US,USD,1299736800,1300856400,FALSE,FALSE,theater/plays
97,Stewart LLC,Cloned bi-directional architecture,1300,12047,successful,113,US,USD,1435208400,1439874000,FALSE,FALSE,food/food trucks
98,"Arias, Allen and Miller",Seamless transitional portal,97800,32951,failed,1220,AU,AUD,1437973200,1438318800,FALSE,FALSE,games/video games
99,Baker-Morris,Fully-configurable motivating approach,7600,14951,successful,164,US,USD,1416895200,1419400800,FALSE,FALSE,theater/plays
100,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100,1,failed,1,US,USD,1319000400,1320555600,FALSE,FALSE,theater/plays
101,Douglas LLC,Reduced heuristic moratorium,900,9193,successful,164,US,USD,1424498400,1425103200,FALSE,TRUE,music/electric music
102,Garcia Inc,Front-line web-enabled model,3700,10422,successful,336,US,USD,1526274000,1526878800,FALSE,TRUE,technology/wearables
103,"Frye, Hunt and Powell",Polarized incremental emulation,10000,2461,failed,37,IT,EUR,1287896400,1288674000,FALSE,FALSE,music/electric music
104,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200,170623,successful,1917,US,USD,1495515600,1495602000,FALSE,FALSE,music/indie rock
105,Charles-Johnson,Total fresh-thinking system engine,6800,9829,successful,95,US,USD,1364878800,1366434000,FALSE,FALSE,technology/web
106,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900,14006,successful,147,US,USD,1567918800,1568350800,FALSE,FALSE,theater/plays
107,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500,6527,successful,86,US,USD,1524459600,1525928400,FALSE,TRUE,theater/plays
108,Decker Inc,Universal encompassing implementation,1500,8929,successful,83,US,USD,1333688400,1336885200,FALSE,FALSE,film & video/documentary
109,Romero and Sons,Object-based client-server application,5200,3079,failed,60,US,USD,1389506400,1389679200,FALSE,FALSE,film & video/television
110,Castillo-Carey,Cross-platform solution-oriented process improvement,142400,21307,failed,296,US,USD,1536642000,1538283600,FALSE,FALSE,food/food trucks
111,Hart-Briggs,Re-engineered user-facing approach,61400,73653,successful,676,US,USD,1348290000,1348808400,FALSE,FALSE,publishing/radio & podcasts
112,Jones-Meyer,Re-engineered client-driven hub,4700,12635,successful,361,AU,AUD,1408856400,1410152400,FALSE,FALSE,technology/web
113,"Wright, Hartman and Yu",User-friendly tertiary array,3300,12437,successful,131,US,USD,1505192400,1505797200,FALSE,FALSE,food/food trucks
114,Harper-Davis,Robust heuristic encoding,1900,13816,successful,126,US,USD,1554786000,1554872400,FALSE,TRUE,technology/wearables
115,Barrett PLC,Team-oriented clear-thinking capacity,166700,145382,failed,3304,IT,EUR,1510898400,1513922400,FALSE,FALSE,publishing/fiction
116,David-Clark,De-engineered motivating standardization,7200,6336,failed,73,US,USD,1442552400,1442638800,FALSE,FALSE,theater/plays
117,Chaney-Dennis,Business-focused 24hour groupware,4900,8523,successful,275,US,USD,1316667600,1317186000,FALSE,FALSE,film & video/television
118,"Robinson, Lopez and Christensen",Organic next generation protocol,5400,6351,successful,67,US,USD,1390716000,1391234400,FALSE,FALSE,photography/photography books
119,Clark and Sons,Reverse-engineered full-range Internet solution,5000,10748,successful,154,US,USD,1402894800,1404363600,FALSE,TRUE,film & video/documentary
120,Vega Group,Synchronized regional synergy,75100,112272,successful,1782,US,USD,1429246800,1429592400,FALSE,TRUE,games/mobile games
121,Brown-Brown,Multi-lateral homogeneous success,45300,99361,successful,903,US,USD,1412485200,1413608400,FALSE,FALSE,games/video games
122,Taylor PLC,Seamless zero-defect solution,136800,88055,failed,3387,US,USD,1417068000,1419400800,FALSE,FALSE,publishing/fiction
123,Edwards-Lewis,Enhanced scalable concept,177700,33092,failed,662,CA,CAD,1448344800,1448604000,TRUE,FALSE,theater/plays
124,"Stanton, Neal and Rodriguez",Polarized uniform software,2600,9562,successful,94,IT,EUR,1557723600,1562302800,FALSE,FALSE,photography/photography books
125,Pratt LLC,Stand-alone web-enabled moderator,5300,8475,successful,180,US,USD,1537333200,1537678800,FALSE,FALSE,theater/plays
126,Gross PLC,Proactive methodical benchmark,180200,69617,failed,774,US,USD,1471150800,1473570000,FALSE,TRUE,theater/plays
127,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200,53067,failed,672,CA,CAD,1273640400,1273899600,FALSE,FALSE,theater/plays
128,Allen-Curtis,Phased human-resource core,70600,42596,canceled,532,US,USD,1282885200,1284008400,FALSE,FALSE,music/rock
129,Morgan-Martinez,Mandatory tertiary implementation,148500,4756,canceled,55,AU,AUD,1422943200,1425103200,FALSE,FALSE,food/food trucks
130,"Luna, Anderson and Fox",Secured directional encryption,9600,14925,successful,533,DK,DKK,1319605200,1320991200,FALSE,FALSE,film & video/drama
131,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700,166116,successful,2443,GB,GBP,1385704800,1386828000,FALSE,FALSE,technology/web
132,Flowers and Sons,Virtual static core,3300,3834,successful,89,US,USD,1515736800,1517119200,FALSE,TRUE,theater/plays
133,Gates PLC,Secured content-based product,4500,13985,successful,159,US,USD,1313125200,1315026000,FALSE,FALSE,music/world music
134,Caldwell LLC,Secured executive concept,99500,89288,failed,940,CH,CHF,1308459600,1312693200,FALSE,TRUE,film & video/documentary
135,"Le, Burton and Evans",Balanced zero-defect software,7700,5488,failed,117,US,USD,1362636000,1363064400,FALSE,TRUE,theater/plays
136,Briggs PLC,Distributed context-sensitive flexibility,82800,2721,canceled,58,US,USD,1402117200,1403154000,FALSE,TRUE,film & video/drama
137,Hudson-Nguyen,Down-sized disintermediate support,1800,4712,successful,50,US,USD,1286341200,1286859600,FALSE,FALSE,publishing/nonfiction
138,Hogan Ltd,Stand-alone mission-critical moratorium,9600,9216,failed,115,US,USD,1348808400,1349326800,FALSE,FALSE,games/mobile games
139,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100,19246,failed,326,US,USD,1429592400,1430974800,FALSE,TRUE,technology/wearables
140,Bautista-Cross,Fully-configurable coherent Internet solution,5500,12274,successful,186,US,USD,1519538400,1519970400,FALSE,FALSE,film & video/documentary
141,Jackson LLC,Distributed motivating algorithm,64300,65323,successful,1071,US,USD,1434085200,1434603600,FALSE,FALSE,technology/web
142,Figueroa Ltd,Expanded solution-oriented benchmark,5000,11502,successful,117,US,USD,1333688400,1337230800,FALSE,FALSE,technology/web
143,Avila-Jones,Implemented discrete secured line,5400,7322,successful,70,US,USD,1277701200,1279429200,FALSE,FALSE,music/indie rock
144,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000,11619,successful,135,US,USD,1560747600,1561438800,FALSE,FALSE,theater/plays
145,Fields-Moore,Secured reciprocal array,25000,59128,successful,768,CH,CHF,1410066000,1410498000,FALSE,FALSE,technology/wearables
146,Harris-Golden,Optional bandwidth-monitored middleware,8800,1518,canceled,51,US,USD,1320732000,1322460000,FALSE,FALSE,theater/plays
147,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300,9337,successful,199,US,USD,1465794000,1466312400,FALSE,TRUE,theater/plays
148,"White, Larson and Wright",Upgradable hybrid capability,9300,11255,successful,107,US,USD,1500958800,1501736400,FALSE,FALSE,technology/wearables
149,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200,13632,successful,195,US,USD,1357020000,1361512800,FALSE,FALSE,music/indie rock
150,"Brown, Palmer and Pace",Networked stable workforce,100,1,failed,1,US,USD,1544940000,1545026400,FALSE,FALSE,music/rock
151,Parker LLC,Customizable intermediate extranet,137200,88037,failed,1467,US,USD,1402290000,1406696400,FALSE,FALSE,music/electric music
152,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500,175573,successful,3376,US,USD,1487311200,1487916000,FALSE,FALSE,music/indie rock
153,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400,176112,failed,5681,US,USD,1350622800,1351141200,FALSE,FALSE,theater/plays
154,Rodriguez-Brown,Devolved foreground benchmark,171300,100650,failed,1059,US,USD,1463029200,1465016400,FALSE,TRUE,music/indie rock
155,Hall-Schaefer,Distributed eco-centric methodology,139500,90706,failed,1194,US,USD,1269493200,1270789200,FALSE,FALSE,theater/plays
